68	多	204725	38.6580165872	duo1	many/much/a lot of/numerous/multi-
69	又	202995	38.8906766716	you4	(once) again/also/both... and.../again
70	于	199824	39.1197023556	yu2	(surname), in/at/to/from/by/than/out of
71	头	199131	39.3479337665	tou2/tou	head, suff. for nouns
72	年	198208	39.575107293	nian2	year
73	手	191014	39.7940355098	shou3	hand/convenient
74	发	185452	40.0065889125	fa1/fa4	to send out/to show (one's feeling)/to issue/to develop, hair
75	如	183873	40.2173325648	ru2	as (if)/such as
76	什	182926	40.4269908254	shen2/shi2	what, tenth (used in fractions)
77	开	181454	40.6349619723	kai1	open/operate (vehicle)/start
78	前	181054	40.8424746643	qian2	before/in front/ago/former/previous/earlier/front
79	当	179007	41.0476412139	dang1/dang4	to be/to act as/manage/withstand/when/during/ought/should/match equally/equal/same/obstruct/just at (a time or place)/on the spot/right/just at, at or in the very same.../to pawn/suitable/adequate/fitting/proper/replace/represent
80	所	176877	41.2503664916	suo3	actually/place
81	无	176808	41.4530126859	wu2	-less/not to have/no/none/not/to lack/un-
82	知	176476	41.6552783627	zhi1	to know/to be aware
83	老	171854	41.8522465942	lao3	(a prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family to indicate affection or familiarity)/old (of people)
84	但	169648	42.0466864474	dan4	but/yet/however/only/merely/still
85	见	169620	42.2410942088	jian4/xian4	to see/to meet/to appear (to be sth)/to interview, appear
86	长	167902	42.4335329067	chang2/zhang3	length/long/forever/always/constantly, chief/head/elder/to grow/to develop
87	已	167561	42.625580772	yi3	already/to stop/then/afterwards
88	军	167523	42.817585084	jun1	army/military/arms
89	从	166578	43.0085062966	cong1/cong2/zong4	lax/yielding/unhurried, from/obey/observe/follow, second cousin
90	方	166568	43.1994160478	fang1	square/quadrilateral/direction/just
91	声	165172	43.3887257917	sheng1	sound/voice/(a measure word, used for sounds)/tone/noise
92	儿	165112	43.5779667674	er2/er	son, non-syllabic dimi. suff.
93	回	164360	43.766345848	hui2	(a measure word for matters or actions) a time/to circle/to go back/to turn around/to answer/to return/to revolve/Islam
94	意	161465	43.951406862	yi4	idea/meaning/wish/desire/(abbr.) Italy
95	作	160044	44.1348392153	zuo4	to regard as/to take (somebody) for/to do/to make
96	话	159827	44.3180228568	hua4	dialect/language/spoken words/speech/talk/words/conversation/what someone said
97	两	159628	44.5009784171	liang3	both/two/ounce/some/a few/tael
98	点	159459	44.6837402802	dian3	(downwards-right convex character stroke)/o'clock/(a measure word)/point/dot/(decimal) point)
99	现	157198	44.8639107275	xian4	appear/present/now/existing/current
100	很	156960	45.0438083942	hen3	very/extremely
101	成	156414	45.2230802701	cheng2/cheng4	finish/complete/accomplish/become/turn into/win/succeed/one tenth, finish/complete/accomplish/become/turn into/win/succeed/one tenth
102	身	155128	45.4008782137	shen1	body/torso/person/life/status/pregnancy/(a measure word used for clothes) suit
103	情	154723	45.5782119719	qing2	feeling/emotion/passion/situation
104	十	152741	45.7532740865	shi2	ten/10
105	用	152033	45.9275247361	yong4	to use
106	些	151115	46.1007232319	xie1	some/few/several/(a measure word)
107	走	150703	46.2734495193	zou3	to walk/to go/to move
108	经	146583	46.4414537221	jing1	classics/sacred book/pass through/to undergo/scripture
109	同	146088	46.6088905872	tong2	like/same/similar/together/alike/with
110	进	145056	46.7751446388	jin4	advance/enter/to come in
111	动	143724	46.9398720359	dong4	to use/to act/to move/to change
112	己	143046	47.1038223521	ji3	6th heavenly stem/self
113	三	141780	47.2663216588	san1	three/3
114	行	140708	47.4275923066	hang2/xing2/xing4	a row/profession/professional, all right/capable/competent/OK/okay/to go/to do/to travel/temporary/to walk/to go/will do, behavior/conduct
115	种	136761	47.5843391517	zhong3/zhong4	kind/type/race/breed/seed/species (taxonomy), to plant/to cultivate
116	向	136181	47.7404212372	xiang4	direction/part/side/towards/to/guide/opposite to, guide/opposite to
117	日	136153	47.8964712309	ri4	Japan/day/sun/date/day of the month
118	明	133658	48.0496616128	ming2	clear/bright/to understand/next/the Ming dynasty
119	女	133560	48.2027396732	nu:3/nv3	female/woman
120	正	132092	48.3541352045	zheng1/zheng4	Chinese 1st month of year, just (right)/main/upright/straight/correct/principle
121	问	130594	48.5038138225	wen4	to ask
122	此	127146	48.6495405601	ci3	this/these
123	学	127075	48.7951859219	xue2	learn/study/science/-ology
124	太	126016	48.9396175247	tai4	highest/greatest/too (much)/very/extremely
125	打	124708	49.0825499802	da2/da3	dozen, beat/strike/break/mix up/build/fight/fetch/make/tie up/issue/shoot/calculate/since/from
126	间	123971	49.2246377327	jian1/jian4	between/among/space/(measure word), interstice/separate
127	分	122144	49.3646314929	fen1/fen4	to divide/minute/(a measure word)/(a unit of length = 0.33 centimeter), part
128	因	121722	49.5041415833	yin1	cause/reason/because
129	给	121522	49.6434224463	gei3/ji3	to/for/for the benefit of/to give/to allow/to do sth (for sb)/(passive particle), to supply/provide
130	本	121288	49.7824351132	ben3	roots or stems of plants/origin/source/this/the current/root/foundation/basis/(a measure word)
131	眼	119989	49.9199589481	yan3	eye
132	定	119540	50.0569681675	ding4	to set/to fix/to determine/to decide/to order
133	二	118805	50.1931349762	er4	two/2
134	气	117699	50.3280341574	qi4	air/anger/gas, gas/air/smell/weather/vital breath/to make sb. angry/to get angry/to be enraged
135	力	117291	50.4624657146	li4	power/force/strength
136	被	116917	50.5964686166	bei4	by (marker for passive-voice sentences or clauses)/quilt/blanket/to cover/to wear
137	门	116743	50.7302720908	men2	opening/door/gate/doorway/gateway/valve/switch/way to do something/knack/family/house/(religious) sect/school (of thought)/class/category/phylum or division (taxonomy)
138	真	116541	50.8638440452	zhen1	real/true/genuine
139	法	116426	50.9972841939	fa3	law/method/way/Buddhist teaching/Legalist/France (abbrev.)
140	外	115151	51.129263018	wai4	outside/in addition/foreign/external
141	听	115078	51.261158174	ting1/ting4	listen/hear/obey, let/allow
142	实	114801	51.39273585	shi2	real/true/honest/really/solid
143	其	114708	51.5242069354	qi2	his/her/its/theirs/that/such/it (refers to sth preceding it)
144	高	114338	51.65525395	gao1	high/tall
145	先	113677	51.785543368	xian1	early/prior/former/in advance/first
146	几	113152	51.9152310641	ji1/ji3	small table, almost, a few/how many, how much/how many/several/a few
147	笑	111752	52.0433141684	xiao4	laugh/smile
148	再	110526	52.1699921087	zai4	again/once more/re-/second/another
149	主	109936	52.2959938282	zhu3	to own/to host/master/lord/primary
150	将	109619	52.4216322222	jiang1/jiang4	(will, shall, "future tense")/ready/prepared/to get/to use, a general
151	山	108203	52.5456476862	shan1	mountain/hill
152	战	108052	52.6694900835	zhan4	to fight/fight/war/battle
153	才	106400	52.7914390625	cai2	ability/talent/endowment/gift/an expert/only (then)/only if/just, just/not until
154	口	106165	52.9131186992	kou3	mouth/(a measure word)
155	文	106025	53.0346378768	wen2	language/culture/writing/formal/literary
156	最	103847	53.1536607679	zui4	(the) most/-est
157	部	103715	53.272532369	bu4	ministry/department/section/part/division/troops/board/(a measure word)/(a measure word for works of literature, films, machines, etc.)
158	第	103345	53.3909798994	di4	(prefix before a number, for ordering numbers, e.g. "first", "number two", etc)
159	它	102465	53.5084188291	ta1	it
160	西	101625	53.6248950038	xi1	west
161	与	101186	53.7408680244	yu2/yu3/yu4	(interrog. part.), and/to give/together with, take part in
162	全	100584	53.8561510704	quan2	all/whole/entire/every/complete
163	白	100361	53.9711785279	bai2	white/snowy/empty/blank/bright/clear/plain/pure/gratuitous
164	者	99308	54.0849991031	zhe3	-ist, -er (person)/person (who does sth)
165	便	97630	54.1968964604	bian4/pian2	ordinary/plain/convenient/handy/easy/then/so/thus/to relieve oneself, advantageous/cheap
166	相	97210	54.3083124401	xiang1/xiang4	each other/one another/mutually, appearance/portrait/picture
167	住	96972	54.4194556392	zhu4	to live/to dwell/to reside/to stop
168	公	95247	54.528621752	gong1	just/honorable (designation)/public/common
169	使	94704	54.6371655124	shi3	to make/to cause/to enable/to use/to employ/messenger
170	东	94140	54.7450628515	dong1	east
171	等	93894	54.8526782408	deng3	class/rank/grade/equal to/same as/wait for/await/et cetera/and so on
